Category,Product,College,Size,Selling Price,Units Sold,Cost Price,Month
Bags & Cases,Tote Bag,DJ Sanghvi,13-inch,210,442,180.0,July
Gadgets,Earphones,DJ Sanghvi,64GB,750,286,650.0,August
Apparel,Hoodie,MIT WPU,L,650,421,530.0,January
Apparel,Hoodie,VESIT,S,620,457,320.0,July
Stationery,Folder,VIT Pune,A5,100,416,80.0,June
Gadgets,Earphones,AISSMS,128GB,690,374,430.0,December
Stationery,Folder,St. Xavier's Mumbai,A4,100,220,70.0,September
Bags & Cases,Backpack,DJ Sanghvi,13-inch,190,299,140.0,September
Accessories,College Socks,MIT WPU,Small,290,22,190.0,March
Apparel,College T-Shirt,NMIMS,M,560,305,470.0,September
Stationery,Pen Set,Mumbai University,A4,70,77,50.0,February
Gadgets,Earphones,St. Xavier's Mumbai,64GB,790,41,530.0,March
Gadgets,Powerbank,AISSMS,32GB,1310,430,840.0,April
Accessories,College Cap,DY Patil Pune,Large,250,444,160.0,February
Apparel,Jacket,PCCOE,M,580,142,500.0,April
Bags & Cases,Laptop Bag,Bhavan's College,13-inch,280,331,230.0,August
Gadgets,Powerbank,SKNCOE,128GB,1080,199,720.0,March
Bags & Cases,Laptop Bag,St. Xavier's Mumbai,17-inch,960,13,840.0,June
Bags & Cases,Backpack,PCCOE,15-inch,170,493,150.0,December
Gadgets,Wireless Mouse,KJ Somaiya,128GB,1480,41,1040.0,February
Stationery,Pen Set,Modern College,A5,110,47,60.0,September
Gadgets,Wireless Mouse,PCCOE,32GB,1300,357,1150.0,June
Accessories,College Socks,SKNCOE,Small,140,332,110.0,December
Bags & Cases,Tote Bag,COEP,17-inch,490,52,370.0,November
Bags & Cases,Laptop Bag,PICT,17-inch,240,145,140.0,March
Gadgets,Powerbank,DJ Sanghvi,256GB,520,261,270.0,April
Apparel,Hoodie,Wilson College,L,450,488,340.0,June
Stationery,Folder,Fr. Agnel,A5,70,183,60.0,May
Accessories,Keychain,Fr. Agnel,Adjustable,120,499,80.0,July
Gadgets,Wireless Mouse,Wilson College,32GB,790,212,540.0,May
Apparel,Hoodie,Modern College,M,560,270,390.0,April
Accessories,College Cap,St. Xavier's Mumbai,Small,290,267,200.0,May
Apparel,Hoodie,MIT WPU,S,420,52,290.0,February
Accessories,College Cap,VIT Pune,Large,110,306,70.0,June
Bags & Cases,Backpack,Bharati Vidyapeeth,13-inch,300,328,210.0,January
Bags & Cases,College Pouch,DY Patil Pune,15-inch,520,362,430.0,October
Gadgets,Earphones,St. Xavier's Mumbai,64GB,1460,196,990.0,June
Accessories,College Cap,HR College,Large,80,344,70.0,September
Accessories,College Cap,MIT WPU,Adjustable,340,102,180.0,August
Stationery,Sticky Notes,VIT Pune,A4,120,347,100.0,December
Stationery,Sticky Notes,MIT WPU,A4,70,317,50.0,March
Gadgets,Wireless Mouse,VIT Pune,128GB,560,149,420.0,August
Gadgets,Earphones,AISSMS,64GB,980,131,820.0,December
Stationery,Sticky Notes,Fr. Agnel,A4,120,305,100.0,February
Apparel,Hoodie,AISSMS,S,410,26,260.0,February
Apparel,Sweatshirt,Thakur College,S,330,64,180.0,July
Gadgets,Earphones,Wilson College,128GB,1270,63,690.0,April
Accessories,Wrist Band,Bhavan's College,Adjustable,270,180,210.0,August
Apparel,Hoodie,VIT Pune,L,320,314,280.0,February
Bags & Cases,Backpack,Mumbai University,17-inch,680,466,390.0,June
Bags & Cases,Backpack,Fr. Agnel,13-inch,950,478,710.0,April
Apparel,Sweatshirt,RAIT,S,620,110,510.0,September
Accessories,College Badge,DJ Sanghvi,Large,230,272,170.0,July
Gadgets,Powerbank,Fr. Agnel,64GB,840,408,650.0,May
Apparel,Jacket,Fr. Agnel,L,360,397,200.0,June
Gadgets,Wireless Mouse,Fr. Agnel,32GB,1430,364,1010.0,February
Apparel,Jacket,Thakur College,S,660,98,350.0,May
Accessories,Wrist Band,PICT,Adjustable,340,389,210.0,May
Gadgets,Pendrive 32GB,RAIT,256GB,1210,246,620.0,June
Accessories,Wrist Band,MIT WPU,Adjustable,350,350,290.0,March
Gadgets,Pendrive 32GB,KJ Somaiya,64GB,1050,299,930.0,April
Apparel,Sweatshirt,St. Xavier's Mumbai,M,360,110,260.0,November
Stationery,Branded Notebook,VESIT,A5,50,314,40.0,March
Apparel,Jacket,DY Patil Pune,S,620,355,530.0,October
Accessories,Wrist Band,VESIT,Adjustable,190,194,130.0,June
Accessories,College Badge,VESIT,Adjustable,380,55,270.0,January
Bags & Cases,Laptop Bag,KJ Somaiya,13-inch,570,267,480.0,March
Gadgets,Earphones,Thakur College,32GB,1300,470,700.0,June
Gadgets,Pendrive 32GB,HR College,128GB,540,392,300.0,September
Accessories,Wrist Band,Modern College,Small,400,170,260.0,August
Apparel,Hoodie,St. Xavier's Mumbai,M,420,89,350.0,October
Apparel,Sweatshirt,Wilson College,S,790,66,420.0,June
Accessories,Keychain,Modern College,Adjustable,210,78,170.0,August
Apparel,Sweatshirt,AISSMS,L,370,300,210.0,August
Gadgets,Earphones,AISSMS,256GB,900,139,480.0,January
Accessories,College Badge,Thakur College,Free Size,380,423,260.0,April
Accessories,Wrist Band,Rizvi College,Small,460,348,230.0,November
Gadgets,Earphones,VESIT,64GB,970,488,850.0,April
Stationery,Pen Set,Fr. Agnel,A4,80,90,60.0,June
Bags & Cases,Tote Bag,RAIT,15-inch,780,449,490.0,September
Stationery,Sticky Notes,VIIT,A5,110,226,80.0,November
Stationery,Sticky Notes,Wilson College,B5,80,473,70.0,August
Accessories,Shoes,KJ Somaiya,UK10,160,89,100.0,October
Apparel,Hoodie,PICT,M,480,48,250.0,June
Apparel,Sweatshirt,SPIT,S,610,45,450.0,May
Apparel,Hoodie,Bhavan's College,L,500,48,330.0,December
Accessories,Keychain,AISSMS,Free Size,490,295,250.0,January
Apparel,Sweatshirt,VIIT,S,630,328,470.0,December
Bags & Cases,College Pouch,KJ Somaiya,17-inch,950,317,500.0,October
Apparel,College T-Shirt,Wilson College,M,510,435,390.0,May
Stationery,Sticky Notes,VESIT,A4,70,326,50.0,December
Accessories,College Cap,Sinhgad College,Large,450,224,390.0,May
Accessories,Keychain,Sinhgad College,Small,130,455,70.0,January
Stationery,Folder,Bharati Vidyapeeth,A4,80,447,70.0,September
Stationery,Sticky Notes,Mumbai University,A4,110,235,80.0,May
Gadgets,Pendrive 32GB,Fr. Agnel,256GB,520,244,390.0,September
Accessories,College Socks,DY Patil Pune,Free Size,340,190,230.0,June
Stationery,Pen Set,Rizvi College,B5,140,354,110.0,December
